epoch,opponent,win_rate
840,DumbBot,80.0
841,DumbBot,100.0
842,DumbBot,80.0
843,DumbBot,80.0
844,DumbBot,100.0
845,DumbBot,100.0
846,DumbBot,100.0
847,DumbBot,60.0
848,DumbBot,80.0
849,DumbBot,60.0
850,DumbBot,80.0
851,DumbBot,100.0
852,DumbBot,100.0
853,DumbBot,100.0
854,DumbBot,100.0
855,DumbBot,80.0
856,DumbBot,100.0
857,DumbBot,100.0
858,DumbBot,100.0
859,DumbBot,100.0
860,DumbBot,100.0
861,DumbBot,80.0
862,DumbBot,100.0
863,DumbBot,80.0
864,DumbBot,80.0
865,DumbBot,60.0
866,DumbBot,80.0
867,DumbBot,80.0
868,DumbBot,60.0
869,DumbBot,80.0
870,DumbBot,80.0
871,DumbBot,80.0
872,DumbBot,60.0
873,DumbBot,60.0
874,DumbBot,100.0
875,DumbBot,100.0
876,DumbBot,80.0
877,DumbBot,60.0
878,DumbBot,100.0
879,DumbBot,60.0
880,DumbBot,100.0
881,DumbBot,80.0
882,DumbBot,80.0
883,DumbBot,80.0
884,DumbBot,80.0
885,DumbBot,80.0
886,DumbBot,100.0
887,DumbBot,100.0
888,DumbBot,80.0
889,DumbBot,80.0
890,DumbBot,100.0
891,DumbBot,100.0
892,DumbBot,100.0
893,DumbBot,60.0
894,DumbBot,80.0
895,DumbBot,100.0
896,DumbBot,60.0
897,DumbBot,80.0
898,DumbBot,100.0
899,DumbBot,80.0
900,DumbBot,80.0
901,DumbBot,60.0
902,DumbBot,80.0
903,DumbBot,100.0
904,DumbBot,100.0
905,DumbBot,80.0
906,DumbBot,80.0
907,DumbBot,100.0
908,DumbBot,60.0
909,DumbBot,60.0
910,DumbBot,100.0
911,DumbBot,100.0
912,DumbBot,100.0
913,DumbBot,80.0
914,DumbBot,100.0
915,DumbBot,80.0
916,DumbBot,80.0
917,DumbBot,80.0
918,DumbBot,100.0
919,DumbBot,100.0
920,DumbBot,20.0
921,DumbBot,100.0
922,DumbBot,100.0
923,DumbBot,80.0
924,DumbBot,100.0
925,DumbBot,80.0
926,DumbBot,80.0
927,DumbBot,80.0
928,DumbBot,80.0
929,DumbBot,80.0
930,DumbBot,80.0
931,DumbBot,100.0
932,DumbBot,60.0
933,DumbBot,80.0
934,DumbBot,100.0
935,DumbBot,100.0
936,DumbBot,100.0
937,DumbBot,0.0
938,DumbBot,80.0
939,DumbBot,80.0
940,DumbBot,80.0
941,DumbBot,80.0
942,DumbBot,80.0
943,DumbBot,80.0
944,DumbBot,80.0
945,DumbBot,100.0
946,DumbBot,60.0
947,DumbBot,100.0
948,DumbBot,80.0
949,DumbBot,100.0
950,DumbBot,100.0
951,DumbBot,80.0
952,DumbBot,80.0
953,DumbBot,100.0
954,DumbBot,80.0
955,DumbBot,100.0
956,DumbBot,80.0
957,DumbBot,100.0
958,DumbBot,100.0
959,DumbBot,80.0
960,DumbBot,80.0
961,DumbBot,60.0
962,DumbBot,100.0
963,DumbBot,80.0
964,DumbBot,80.0
965,DumbBot,40.0
966,DumbBot,100.0
967,DumbBot,80.0
968,DumbBot,80.0
969,DumbBot,100.0
970,DumbBot,80.0
971,DumbBot,80.0
972,DumbBot,100.0
973,DumbBot,100.0
974,DumbBot,80.0
975,DumbBot,100.0
976,DumbBot,60.0
977,DumbBot,80.0
978,DumbBot,80.0
979,DumbBot,80.0
980,DumbBot,100.0
981,DumbBot,60.0
982,DumbBot,100.0
983,DumbBot,100.0
984,DumbBot,80.0
985,DumbBot,100.0
986,DumbBot,100.0
987,DumbBot,80.0
988,DumbBot,80.0
989,DumbBot,80.0
990,DumbBot,100.0
991,DumbBot,60.0
992,DumbBot,60.0
993,DumbBot,60.0
994,DumbBot,100.0
995,DumbBot,80.0
996,DumbBot,100.0
997,DumbBot,100.0
998,DumbBot,40.0
999,DumbBot,40.0
1000,DumbBot,100.0
1001,DumbBot,100.0
1002,DumbBot,100.0
1003,DumbBot,100.0
1004,DumbBot,100.0
1005,DumbBot,80.0
1006,DumbBot,80.0
1007,DumbBot,60.0
1008,DumbBot,100.0
1009,DumbBot,80.0
1010,DumbBot,80.0
1011,DumbBot,60.0
1012,DumbBot,80.0
1013,DumbBot,60.0
1014,DumbBot,100.0
1015,DumbBot,100.0
1016,DumbBot,80.0
1017,DumbBot,80.0
1018,DumbBot,100.0
